Table S1. Essentiality classification for genes of the TL data,,,,,
Gene,Insertion Index Score,Log Likelihood Ratio,Essential,Non-essential,Unclear
lacY,"0,462519936","36,55736935",0,1,0
lacZ,"0,275555556","22,05040527",0,1,0
lacI,"0,1966759","15,14456612",0,1,0
mhpR,"0,176258993","13,20947434",0,1,0
mhpA,"0,196396396","15,11859294",0,1,0
mhpB,"0,180952381","13,66148059",0,1,0
mhpC,"0,150793651","10,66797705",0,1,0
mhpD,"0,19382716","14,87921163",0,1,0
mhpF,"0,171398528","12,73642881",0,1,0
mhpE,"0,17357002","12,94840945",0,1,0
mhpT,"0,177392739","13,31908243",0,1,0
yaiL,"0,227777778","17,95908473",0,1,0
frmB,"0,215827338","16,89431081",0,1,0
frmA,"0,196396396","15,11859294",0,1,0
frmR,"0,166666667","12,27079006",0,1,0
yaiO,"0,382428941","30,55269172",0,1,0
yaiX,"0,449856734","35,62320709",0,1,0
insC1,"0,450819672","35,69442336",0,1,0
insD1,"0,429359823","34,09990708",0,1,0
yaiP,"0,440267335","34,91232599",0,1,0
yaiS,"0,311827957","25,01823163",0,1,0
tauA,"0,247144341","19,64670219",0,1,0
tauB,"0,177083333","13,28919668",0,1,0
tauC,"0,166666667","12,27079006",0,1,0
tauD,"0,178403756","13,41659732",0,1,0
hemB,"0,012307692","-14,11477855",1,0,0
yaiT,"0,434468524","34,48093454",0,1,0
insF1,"0,380622837","30,41433228",0,1,0
insE1,"0,303333333","24,33206873",0,1,0
yaiV,"0,301282051","24,16560726",0,1,0
ampH,"0,345423143","27,68619614",0,1,0
sbmA,"0,226044226","17,80580294",0,1,0
yaiW,"0,189041096","14,43016012",0,1,0
yaiY,"0,165048544","12,11035011",0,1,0
yaiZ,"0,225352113","17,74449752",0,1,0
ddlA,"0,194520548","14,94392934",0,1,0
iraP,"0,53256705","41,64178614",0,1,0
phoA,"0,264830508","21,15214084",0,1,0
psiF,"0,208722741","16,25181799",0,1,0
yaiC,"0,208781362","16,25714995",0,1,0
proC,"0,159259259","11,53103452",0,1,0
yaiI,"0,187363834","14,27179878",0,1,0
aroL,"0,177142857","13,29494772",0,1,0
yaiA,"0,25","19,8919474",0,1,0
aroM,"0,255162242","20,33310572",0,1,0
yaiE,"0,452631579","35,82834534",0,1,0
ykiA,"0,587719298","45,56241501",0,1,0
rdgC,"0,213815789","16,71314807",0,1,0
mak,"0,223322332","17,56434397",0,1,0
araJ,"0,38649789","30,86386147",0,1,0
sbcC,"0,186209088","14,16246407",0,1,0
sbcD,"0,209476309","16,32032016",0,1,0
phoB,"0,211594203","16,51238828",0,1,0
phoR,"0,198302469","15,29545276",0,1,0
brnQ,"0,225","17,71328442",0,1,0
proY,"0,209606987","16,33219056",0,1,0
malZ,"0,214876033","16,80870731",0,1,0
acpH,"0,125429553","7,946429578",0,1,0
queA,"0,16713352","12,31696298",0,1,0
tgt,"0,181737589","13,73666073",0,1,0
yajC,"0,108108108","5,936754821",0,1,0
secD,"0,056818182","-1,358330908",0,0,1
secF,"0,085390947","3,029940696",0,0,1
yajD,"0,186781609","14,21670362",0,1,0
tsx,"0,215819209","16,89357986",0,1,0
yajI,"0,218518519","17,13578531",0,1,0
nrdR,"0,071111111","0,973090857",0,0,1
ribD,"0,008152174","-17,08601447",1,0,0
ribE,0,"-172,1619602",1,0,0
nusB,"0,038095238","-5,112435103",1,0,0
thiL,"0,005112474","-20,35269783",1,0,0
pgpA,"0,142581888","9,810870519",0,1,0
yajO,"0,162051282","11,81147677",0,1,0
dxs,"0,002147075","-26,26739609",1,0,0
ispA,"0,006666667","-18,50474397",1,0,0
xseB,"0,065843621","0,151804214",0,0,1
thiI,"0,177363699","13,31627829",0,1,0
yajL,"0,155668359","11,1673503",0,1,0
panE,"0,190789474","14,59468178",0,1,0
yajQ,"0,162601626","11,86652173",0,1,0
yajR,"0,15970696","11,57613848",0,1,0
cyoE,"0,198653199","15,3279292",0,1,0
cyoD,"0,2","15,45244758",0,1,0
cyoC,"0,188617886","14,39025156",0,1,0
cyoB,"0,173694779","12,9605567",0,1,0
cyoA,"0,273206751","21,85456867",0,1,0
ampG,"0,243224932","19,3086595",0,1,0
yajG,"0,208981002","16,27530457",0,1,0
bolA,"0,254716981","20,29516259",0,1,0
tig,"0,172440339","12,83826107",0,1,0
clpP,"0,185897436","14,13291249",0,1,0
clpX,"0,152156863","10,80830433",0,1,0
lon,"0,12866242","8,306371711",0,1,0
hupB,"0,19047619","14,56524303",0,1,0
ppiD,"0,199786325","15,4327124",0,1,0
ybaV,"0,233870968","18,49484633",0,1,0
